id,permutation,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,pickscore_score_model1,pickscore_score_model2,pickscore_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,tit_score_score_model1,tit_score_score_model2,tit_score_pref_model1,imagereward_score_model1,imagereward_score_model2,imagereward_pref_model1
1953,V1-V2-V3,1953-3.png,1953-5.png,sd15,sdxl,0,0,0,0.5,0.48888888888888893,0.6000000000000001,0.4489795918367347,0.1972021460533142,0.21490895748138428,0.4785169444887582,0.18789398670196533,0.9271085858345032,0.1685143974820918,0.18181818181818182,0.2727272727272727,0.4,,,,-1.039428472518921,0.05949646607041359,0.2499413827219197
2377,V1-S2-V3,2377-2.png,2377-2.png,z-image,flux,0,1,2,0.3333333333333333,0.75,0.75,0.5,0.23434369266033173,0.22777226567268372,0.5071101493782567,0.9311913847923279,0.9417083263397217,0.4971923372391795,0.3333333333333333,0.3333333333333333,0.5,,,,1.4421247243881226,0.7264135479927063,0.6650215690243825
2377,V1-V2-V3,2377-2.png,2377-2.png,z-image,flux,0,1,2,0.3333333333333333,0.8333333333333334,0.9444444444444445,0.46875,0.23434369266033173,0.22777226567268372,0.5071101493782567,0.9311913847923279,0.9417083263397217,0.4971923372391795,0.3333333333333333,0.3333333333333333,0.5,,,,1.4421247243881226,0.7264135479927063,0.6650215690243825
1498,V1-S2-V3,1498-5.png,1498-2.png,qwen-image,sd15,4,2,1,0.6428571428571429,1.0,0.875,0.5333333333333333,0.21746502816677094,0.20445260405540466,0.5154205739670464,0.9509496688842773,0.8933345079421997,0.5156199249730641,0.7,0.7,0.5,,,,0.07814428210258484,-0.7627032399177551,0.6986436839060796
1498,V1-V2-V3,1498-5.png,1498-2.png,qwen-image,sd15,4,2,1,0.6428571428571429,0.9166666666666667,0.75,0.55,0.21746502816677094,0.20445260405540466,0.5154205739670464,0.9509496688842773,0.8933345079421997,0.5156199249730641,0.7,0.7,0.5,,,,0.07814428210258484,-0.7627032399177551,0.6986436839060796
3009,V1-S2-V3,3009-1.png,3009-1.png,flux,sd15,6,0,0,1.0,1.0,1.0,0.5,0.22449341416358948,0.20018711686134338,0.5286171551631821,0.9140729904174805,0.7489640116691589,0.5496408012994168,0.375,0.375,0.5,,,,0.4101678729057312,-0.809837281703949,0.7720644565410689
3009,V1-V2-V3,3009-1.png,3009-1.png,flux,sd15,6,0,0,1.0,1.0,1.0,0.5,0.22449341416358948,0.20018711686134338,0.5286171551631821,0.9140729904174805,0.7489640116691589,0.5496408012994168,0.375,0.375,0.5,,,,0.4101678729057312,-0.809837281703949,0.7720644565410689
1869,V1-S2-V3,1869-1.png,1869-5.png,qwen-image,sd15,1,0,1,0.75,0.8333333333333333,0.6666666666666666,0.5555555555555555,0.2022882103919983,0.1840534508228302,0.5235992664004058,0.9185469150543213,0.9038646817207336,0.5040282429500474,0.2857142857142857,0.2857142857142857,0.5,,,,-0.3399091362953186,-1.785047173500061,0.8092490451866635
1869,V1-V2-V3,1869-1.png,1869-5.png,qwen-image,sd15,1,0,1,0.75,0.888888888888889,0.6111111111111112,0.5925925925925927,0.2022882103919983,0.1840534508228302,0.5235992664004058,0.9185469150543213,0.9038646817207336,0.5040282429500474,0.2857142857142857,0.2857142857142857,0.5,,,,-0.3399091362953186,-1.785047173500061,0.8092490451866635
0904,V1-S2-V3,0904-1.png,0904-2.png,flux,z-image,4,0,0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.22490085661411285,0.23069128394126892,0.4936451632812439,0.9038617014884949,0.8816317915916443,0.5062251444721039,0.5,0.5,0.5,,,,0.03127865493297577,0.47287607192993164,0.062041776594274074
