id,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1
0580,0580-5.png,0580-1.png,sdxl,qwen-image,1,1,0,0.5,1.0,1.0,0.5,0.2,0.2,0.5,0.9654530882835388,0.9675775766372681,0.4994504773275761
1085,1085-3.png,1085-5.png,sdxl,z-image,3,0,1,0.875,0.7055555555555555,0.6944444444444444,0.503968253968254,0.16666666666666666,0.16666666666666666,0.5,0.881633996963501,0.9091768264770508,0.4923099555930107
2837,2837-5.png,2837-2.png,sd15,qwen-image,0,2,0,0.0,0.3833333333333333,0.9,0.2987012987012987,0.2,0.3,0.4,0.8153773546218872,0.8816344738006592,0.48047829777345713
0745,0745-1.png,0745-5.png,z-image,sdxl,2,1,1,0.625,0.8088888888888889,0.6666666666666667,0.5481927710843373,0.4,0.4,0.5,0.8990233540534973,0.788750171661377,0.5326682403509716
1177,1177-3.png,1177-3.png,flux,z-image,1,2,0,0.3333333333333333,0.8539682539682542,0.8857142857142858,0.49087591240875916,0.17647058823529413,0.17647058823529413,0.5,0.9348366856575012,0.9348366856575012,0.5
0663,0663-2.png,0663-3.png,qwen-image,sdxl,3,0,0,1.0,0.6455555555555554,0.551111111111111,0.5394614670380687,0.36363636363636365,0.2727272727272727,0.5714285714285715,0.93119215965271,0.8545097708702087,0.5214712174164604
3093,3093-4.png,3093-1.png,sdxl,qwen-image,0,6,0,0.0,0.6222222222222221,0.6888888888888889,0.4745762711864407,0.2,0.3,0.4,0.8985847234725952,0.9509501457214355,0.48584362395079916
0214,0214-1.png,0214-1.png,flux,sd15,6,0,0,1.0,0.888888888888889,0.5777777777777777,0.6060606060606061,0.2857142857142857,0.2857142857142857,0.5,0.8933342099189758,0.8933342099189758,0.5
1259,1259-4.png,1259-5.png,flux,z-image,2,2,0,0.5,0.888888888888889,0.9666666666666668,0.47904191616766467,0.3,0.3,0.5,0.9509500861167908,0.9509501457214355,0.49999998433023884
1435,1435-5.png,1435-2.png,z-image,qwen-image,0,4,2,0.16666666666666666,0.9888888888888889,0.9777777777777779,0.5028248587570622,0.2727272727272727,0.2727272727272727,0.5,0.96356600522995,0.9417049884796143,0.5057369835636274
2219,2219-5.png,2219-2.png,qwen-image,flux,1,1,1,0.5,0.7722222222222223,0.6888888888888889,0.5285171102661597,0.2727272727272727,0.2727272727272727,0.5,0.9565383791923523,0.931191623210907,0.5067135543613696
1071,1071-2.png,1071-2.png,flux,z-image,2,0,1,0.8333333333333334,0.8933333333333333,0.8222222222222222,0.5207253886010362,0.1,0.1,0.5,0.8688140511512756,0.8688140511512756,0.5
1589,1589-3.png,1589-1.png,sdxl,qwen-image,0,3,0,0.0,0.6799999999999999,0.9288888888888888,0.4226519337016575,0.3,0.4,0.4285714285714286,0.4950352907180786,0.9729069471359253,0.337230769680539
0059,0059-4.png,0059-2.png,sd15,z-image,0,1,0,0.0,0.43888888888888883,0.9333333333333332,0.31983805668016196,0.125,0.375,0.25,0.41686153411865234,0.9694686532020569,0.30069426312089453
0133,0133-3.png,0133-4.png,sdxl,z-image,0,1,3,0.375,1.0,1.0,0.5,0.375,0.375,0.5,0.945162832736969,0.9588764905929565,0.4963987986781691
1568,1568-3.png,1568-4.png,sd15,qwen-image,0,1,0,0.0,0.21666666666666665,0.6166666666666666,0.26,0.14285714285714285,0.42857142857142855,0.25,0.35378578305244446,0.9654538035392761,0.2681740198279347
1340,1340-3.png,1340-5.png,flux,qwen-image,0,2,1,0.16666666666666666,0.7326984126984126,1.0,0.42286551850494686,0.3333333333333333,0.3333333333333333,0.5,0.9038652777671814,0.9712462425231934,0.48203281137497955
2098,2098-2.png,2098-3.png,sdxl,qwen-image,0,3,1,0.125,0.8600000000000001,1.0,0.4623655913978495,0.38461538461538464,0.38461538461538464,0.5,0.8933348655700684,0.4950352907180786,0.6434414205203232
0310,0310-5.png,0310-3.png,qwen-image,flux,3,0,1,0.875,0.8761904761904763,0.7587301587301587,0.5359223300970875,0.3125,0.25,0.5555555555555556,0.8478599786758423,0.8153787851333618,0.5097644409958588
2185,2185-4.png,2185-4.png,sd15,flux,1,2,1,0.375,0.611111111111111,0.8111111111111111,0.4296875,0.4444444444444444,0.4444444444444444,0.5,0.518791913986206,0.518791913986206,0.5
1215,1215-4.png,1215-5.png,flux,z-image,1,1,0,0.5,0.26222222222222225,0.32,0.45038167938931306,0.2857142857142857,0.2857142857142857,0.5,0.48356813192367554,0.5067747831344604,0.4882835274237194
2134,2134-2.png,2134-3.png,sdxl,flux,0,2,2,0.25,0.5133333333333333,0.7866666666666666,0.3948717948717949,0.2,0.3,0.4,0.8066665530204773,0.9449324607849121,0.46053151815150634
1060,1060-2.png,1060-2.png,sdxl,flux,1,0,2,0.6666666666666666,0.5555555555555556,0.6,0.48076923076923084,0.36363636363636365,0.36363636363636365,0.5,0.438576340675354,0.438576340675354,0.5
1312,1312-5.png,1312-1.png,sdxl,qwen-image,0,1,0,0.0,0.6333333333333333,0.45555555555555555,0.5816326530612245,0.45454545454545453,0.45454545454545453,0.5,0.9744524955749512,0.9822150468826294,0.49801638471042237
0830,0830-4.png,0830-3.png,qwen-image,z-image,0,0,1,0.5,0.28888888888888886,0.49444444444444435,0.3687943262411348,0.3,0.2,0.6,0.9654514789581299,0.8478553891181946,0.5324258656684759
1583,1583-1.png,1583-3.png,z-image,sdxl,0,0,0,0.5,0.35555555555555557,0.48888888888888893,0.42105263157894735,0.2222222222222222,0.2222222222222222,0.5,0.6953898072242737,0.9311916828155518,0.4275161198393126
0220,0220-5.png,0220-3.png,flux,sd15,2,0,0,1.0,0.8666666666666666,0.7555555555555556,0.5342465753424657,0.3333333333333333,0.25,0.5714285714285715,0.9185470938682556,0.5653465986251831,0.6190113877529789
2958,2958-2.png,2958-2.png,z-image,flux,0,2,4,0.3333333333333333,0.888888888888889,0.9111111111111111,0.4938271604938272,0.375,0.375,0.5,0.9481682181358337,0.9481682181358337,0.5
2121,2121-1.png,2121-2.png,z-image,sdxl,1,1,0,0.5,0.5555555555555555,0.6444444444444443,0.462962962962963,0.6,0.4,0.6,0.3650158941745758,0.6953892111778259,0.3442230637443706
0544,0544-2.png,0544-4.png,sd15,sdxl,1,1,2,0.5,0.34444444444444444,0.5722222222222222,0.3757575757575758,0.15384615384615385,0.15384615384615385,0.5,0.7697268128395081,0.8545099496841431,0.4739006224951763
2494,2494-5.png,2494-2.png,qwen-image,sdxl,1,0,0,1.0,1.0,0.6888888888888888,0.5921052631578948,0.5,0.5,0.5,0.9860593676567078,0.9384949803352356,0.5123572471131045
0787,0787-2.png,0787-1.png,sd15,z-image,0,2,0,0.0,0.6222222222222222,0.6666666666666666,0.48275862068965525,0.42857142857142855,0.42857142857142855,0.5,0.6018099188804626,0.7795612215995789,0.4356612797566678
2287,2287-5.png,2287-5.png,sdxl,qwen-image,0,5,0,0.0,0.6833333333333333,0.8166666666666668,0.45555555555555555,0.3,0.3,0.5,0.9758809208869934,0.9758809208869934,0.5
0386,0386-1.png,0386-5.png,z-image,qwen-image,0,0,1,0.5,0.7777777777777778,0.7777777777777778,0.5,0.36363636363636365,0.36363636363636365,0.5,0.8688145279884338,0.9449331760406494,0.47901619726847217
